class,Bojovník
name,Letící zbraň
flavor,"Kdo si myslí, že se obouručákem nedá zabít na dálku, bude nepříjemně překvapen."
description,"Postava s touto vyhrazenou dovedností dokáže ja koukoliv zbraň pro boj zblízka použít jako vrhací zbraň, takže může využít zdarma manévr lstivě jako u kterékoliv běžné vrhací zbraně. (aktivace: 1 Tělo)"
name,Cit pro zbraň (rychlá volba: Úroveň 3)
flavor,"Ten chlap to s tesákem umí, a nemám na mysli jen porcování masa, jestli mi rozumíte."
description,"Hráč si vybere jeden druh zbraně pro boj zblízka (např. kopí nebo meč). Postava má nadání (2 manévry) pro pěší i jízdní boj s tímto druhem zbraně proti jakémukoliv protivníkovi a pro zručnost s tímto druhem zbraně. (bez aktivace, Tělo)"
name,Gladiátor (rychlá volba: Úroveň 1)
flavor,"Vybojoval už tolik duelů s lidmi i zvířaty, že přesně ví, jak se jim dostat na kobylku."
description,"Postava je zběhlá (některé manévry zdarma) v pěším boji zblízka jakoukoliv zbraní (i nouzovou) proti zvířatům nebo lidem. (bez aktivace, Tělo)"
name,Zápasník
flavor,"Zná tajné údery a chvaty, které lámou kosti a drtí klouby."
description,"Postava je zběhlá (některé manévry zdarma) v pěším boji zblízka beze zbraně proti zvířatům nebo lidem, tuto schopnost může uplatnit i proti soupeři ozbrojenému zbraní. (bez aktivace, Tělo)"
name,Silák
flavor,Dokáže vyvrátit okované dveře z pantů nebo vyrvat menší strom ze země i s kořeny.
description,"Postava je zběhlá (některé manévry zdarma) v činnostech vyžadujících pouze hrubou sílu (např. zvedání a odvalování břemen nebo vyrážení dveří). Dále může postava bojovat dvouručními zbraněmi a držet je při tom jen v jedné ruce. (bez aktivace, Tělo)"
name,Šampión (rychlá volba: Úroveň 5)
flavor,"Jeho slova a chování dokážou zdrtit soupeře dřív, než začne samotný boj."
description,"Postava je zběhlá (některé manévry zdarma) v chvástání, ostouzení soupeřů a zastrašování lidí. (bez aktivace, Vliv)"
name,Bojové reflexy (rychlá volba: Úroveň 4)
flavor,Jeho rychlost je nelidská. V jediném okamžiku může napadnout dva soupeře.
description,"Při boji zblízka může postava při každém svém tělesném útoku směřovaném pouze na dva cíle použít zdarma manévr rozsáhle. (bez aktivace, Tělo)"
name,Osobní strážce
flavor,Svého zákazníka nebo přítele dostane živého a zdravého z jakéhokoliv nebezpečí.
description,"Tělesnými akcemi může reagovat pomocí manévru obrana nejen na akce vedené na sebe, jak je obvyklé, ale i na jakékoliv akce vedené na jinou postavu, která se nachází poblíž. (bez aktivace, Tělo)"
name,Rameno na rameno (rychlá volba: Úroveň 2)
flavor,Věrnému spolubojovníkovi dokáže pomoci v útoku i krýt záda.
description,"Postava může zaplatit svými zdroji za svého pomocníka nebo jinou postavu, která se nachází dostatečně blízko a čelí nepřátelům v boji zblízka. (bez aktivace, Duše)"
name,Hlava nehlava
flavor,V zápalu boje dokáže rozbít soupeři o hlavu takřka cokoliv.
description,"Postava může při boji zblízka udělit jizvu jakémukoliv předmětu, který použije jako nouzovou zbraň. Předmět tak zničí a získá tím 1 zdroj jako při zničení zbraně běžné kvality. (bez aktivace, Tělo)"
name,Pádný úder
flavor,Ranou své zbraně dokáže prorazit i pevnou zbroj nebo rozdrtit přilbu.
description,"Proti jeho útokům se zbraní poskytuje zbroj o 1 menší slevu. (bez aktivace, Tělo) Přečtení soupeře Pozná, co může od svého protivníka čekat, a to ještě dřív, než se s ním střetne. Hráč může stanovit, že budoucí soupeř jeho postavy má při boji zblízka určitou slabinu nebo nějakou oblíbenou taktiku, kterou ve střetu s jeho postavou využije. (aktivace: 1 Vliv)"
class,Lovec
name,Jedno oko otevřené
flavor,"Je ostražitý a vnímá, co se kolem děje, i když odpočívá nebo spí."
description,"Postava s touto vyhrazenou dovedností dokáže i během spánku reagovat na jakoukoliv akci přímo ohrožující ji nebo jiného člena družiny, jako by nespala, pokud někdo nepoužije k jejímu uspání omamné látky či magii. Postava se tedy při úspěšném použití této dovednosti včas probudí a zareaguje na nebezpečí – hráč si může hodit na iniciativu. (aktivace: 1 Duše)"
name,Vetřelci (rychlá volba: Úroveň 5)
flavor,"Vycítí na dálku cizí tvory, pro něž není divočina domovem. "
description,"Postava s touto vyhrazenou dovedností dokáže v divočině určit, kterým směrem se do vzdálenosti asi jedné hodiny chůze nacházejí tvorové, již zde nejsou doma. (aktivace: 1 Duše)"
name,Něco z ničeho (rychlá volba: Úroveň 2)
flavor,"Nepotřebuje železa ani oka z drátů, k vytvoření smrtící léčky mu stačí kus provazu a nůž."
description,Postava s touto vyhrazenou dovedností dokáže i bez vynaložení koupených surovin vytvářet lovecké pasti se silou až do výše své Duše. (aktivace: 1 Duše)
